SampleID,Name,Site,PlotType,PlotID,Forest_status,Grazing_status,QuadratID,Species,DOMIN,Grid_X,Grid_Y,PlotID
192,Athnamulloch 29,1,2,,Unforested,Grazed,3,Dryopteris filix-mas,1,211606,819820,2
201,Athnamulloch 30,1,2,,Unforested,Grazed,3,Galium saxatile,7,211606,819820,2
35,Athnamulloch 1,1,3,3,Unforested,Ungrazed,3,Holcus mollis,5,211606,819820,3
36,Athnamulloch 2,1,3,,Unforested,Ungrazed,3,Hylocomium splendens,4,211606,819820,3
44,Athnamulloch 3,1,3,,Unforested,Ungrazed,3,Poa nemoralis,5,211606,819820,3
45,Athnamulloch 4,1,3,,Unforested,Ungrazed,3,Polytrichumsp.,4,211606,819820,3
37,Athnamulloch 5,1,3,,Unforested,Ungrazed,3,Potentilla erecta,4,211606,819820,3
40,Athnamulloch 6,1,3,,Unforested,Ungrazed,3,Rhytidiadelphus sp.,6,211606,819820,3
41,Athnamulloch 7,1,3,,Unforested,Ungrazed,3,Rumex acetosa,3,211606,819820,3
39,Athnamulloch 8,1,3,,Unforested,Ungrazed,3,Sphagnum sp.,7,211606,819820,3
43,Athnamulloch 9,1,3,,Unforested,Ungrazed,NA,Juncus effusus,NA,211606,819820,3
38,Athnamulloch 10,1,3,,Unforested,Ungrazed,1,Calluna vulgaris,9,209650,820408,3
42,Athnamulloch 11,1,3,,Unforested,Ungrazed,1,Lichen,8,209650,820408,3
46,Athnamulloch 12,1,3,,Unforested,Ungrazed,1,Litter,4,209650,820408,3
47,Athnamulloch 13,1,3,,Unforested,Ungrazed,1,Molinia caerulea,3,209650,820408,3
53,Athnamulloch 14,1,3,,Unforested,Ungrazed,1,Pleurozium schreberi,3,209650,820408,3
54,Athnamulloch 15,1,3,,Unforested,Ungrazed,1,Potentilla erecta,1,209650,820408,3
49,Athnamulloch 16,1,3,,Unforested,Ungrazed,1,Racomitrium sp.,10,209650,820408,3
50,Athnamulloch 17,1,3,,Unforested,Ungrazed,1,Vaccinium myrtillus,3,209650,820408,3
52,Athnamulloch 18,1,3,,Unforested,Ungrazed,2,Calluna vulgaris,7,209650,820408,3
55,Athnamulloch 19,1,3,,Unforested,Ungrazed,2,Erica tetralix,3,209650,820408,3
51,Athnamulloch 20,1,3,,Unforested,Ungrazed,2,Eriophorum sp.,4,209650,820408,3
48,Athnamulloch 21,1,3,,Unforested,Ungrazed,2,Hylocomium splendens,3,209650,820408,3
56,Athnamulloch 22,1,3,,Unforested,Ungrazed,2,Litter,8,209650,820408,3
61,Athnamulloch 23,1,3,,Unforested,Ungrazed,2,Molinia caerulea,4,209650,820408,3
63,Athnamulloch 24,1,3,,Unforested,Ungrazed,2,Narthecium ossifragum,3,209650,820408,3
64,Athnamulloch 25,1,3,,Unforested,Ungrazed,2,Pleurozium schreberi,3,209650,820408,3
59,Athnamulloch 26,1,3,,Unforested,Ungrazed,2,Potentilla erecta,3,209650,820408,3
62,Athnamulloch 27,1,3,,Unforested,Ungrazed,2,Scirpus cespitosus,3,209650,820408,3
58,Athnamulloch 28,1,3,,Unforested,Ungrazed,2,Sphagnum sp.,9,209650,820408,3
65,Athnamulloch 29,1,3,,Unforested,Ungrazed,3,Calluna vulgaris,8,209650,820408,3
60,Athnamulloch 30,1,3,,Unforested,Ungrazed,3,Erica cinerea,3,209650,820408,3
57,Athnamulloch 31,1,3,,Unforested,Ungrazed,3,Eriophorum sp.,3,209650,820408,3
66,Athnamulloch 32,1,3,,Unforested,Ungrazed,3,Hylocomium splendens,3,209650,820408,3
74,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Lichen,7,209650,820408,3
75,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Litter,6,209650,820408,3
68,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Molinia caerulea,4,209650,820408,3
70,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Narthecium ossifragum,3,209650,820408,3
72,Athnamulloch 2,2,1,4,Reforestation,Ungrazed,3,Pleurozia purpurea,4,209650,820408,4
73,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Pleurozium schreberi,3,209650,820408,
76,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Potentilla erecta,2,209650,820408,
69,Athnamulloch 2,2,1,,Reforestation,Ungrazed,3,Racomitrium sp.,8,209650,820408,
